web-scraper-order,web-scraper-start-url,getinto-link,getinto-link-href,frequency,class,duration,rate,学时安排,number,active state,课程评价数,授课教师
"1553836467-535","https://www.icourse163.org/category/guojiajingpin#?type=30&orderBy=0&pageIndex=1","马克思主义哲学原理精粹九讲","https://www.icourse163.org/course/WHU-21014","第10次开课","哲学","2019年03月04日 ~ 2019年06月30日","进行至第4周，共17周","3","已有4848人参加","立即参加","(93)","授课老师



汪信砚
教授"
"1553835209-50","https://www.icourse163.org/category/guojiajingpin#?type=30&orderBy=0&pageIndex=1","导引系统原理","https://www.icourse163.org/course/NWPU-1001601008","第3次开课","工学","2018年09月18日 ~ 2018年12月10日","当前开课已结束","4学时","已有1436人参加","老师已关闭该学期，无法查看","(4)","授课老师



周军
教授





卢晓东
副教授





赵斌
副教授





郭建国
教授"
"1553836037-365","https://www.icourse163.org/category/guojiajingpin#?type=30&orderBy=0&pageIndex=1","经济学","https://www.icourse163.org/course/UESTC-1001709017","第5次开课","经济学","2019年02月25日 ~ 2019年07月15日","进行至第5周，共21周","3-5小时每周","已有5086人参加","立即参加","(51)","授课老师



马永开
教授





鞠晴江
副教授





梁媛
副教授





李耀
副教授





丁亚
副教授





马捷
副教授"
"1553835098-4","https://www.icourse163.org/category/guojiajingpin#?type=30&orderBy=0&pageIndex=1","慕课问道","https://www.icourse163.org/course/PKU-318002","第5次开课","教育教学","2017年09月11日 ~ 2017年10月23日","当前开课已结束","2-3","已有6004人参加","已结束，查看内容","(4)","授课老师



李晓明
教授"
"1553835464-140","https://www.icourse163.org/category/guojiajingpin#?type=30&orderBy=0&pageIndex=1","传感器技术","https://www.icourse163.org/course/WHU-1001549001","第7次开课","工学","2019年02月18日 ~ 2019年05月15日","进行至第6周，共13周","1-2小时每周","已有3983人参加","立即参加","(78)","授课老师



吴琼水
副教授





周辉
副教授





张铮
高级工程师"
"1553835166-32","https://www.icourse163.org/category/guojiajingpin#?type=30&orderBy=0&pageIndex=1","国际私法","https://www.icourse163.org/course/JNU-1002141006","第3次开课","法学","2018年09月01日 ~ 2018年12月30日","当前开课已结束","2小时每周","已有5097人参加","已结束，查看内容","(44)","授课老师



戴霞
副教授





李健男
教授





吕国民
副教授"
"1553836408-510","https://www.icourse163.org/category/guojiajingpin#?type=30&orderBy=0&pageIndex=1","脑洞大开背后的创新思维","https://www.icourse163.org/course/DLUT-1001772013","第6次开课","管理学","2019年03月04日 ~ 2019年06月16日","进行至第4周，共15周","3-5小时每周","已有3799人参加","立即参加","(253)","授课老师



冯林
教授，博士生导师，大连理工大学创新创业学院院长。





张崴
高级工程师





吴振宇
副教授





刘胜蓝
副教授





王飞龙
工程师"
"1553836314-472","https://www.icourse163.org/category/guojiajingpin#?type=30&orderBy=0&pageIndex=1","财政学","https://www.icourse163.org/course/ZUFE-1002054010","第5次开课","经济学","2019年03月04日 ~ 2019年06月30日","进行至第4周，共17周","3-5小时每周","已有1714人参加","立即参加","(29)","授课老师



钟晓敏
教授"
"1553837064-777","https://www.icourse163.org/category/guojiajingpin#?type=30&orderBy=0&pageIndex=1","地下结构数值计算方法","https://www.icourse163.org/course/FZU-1001744013","第6次开课","工学","2019年03月25日 ~ 2019年06月25日","进行至第1周，共14周","1-2小时每周","已有476人参加","立即参加","(22)","授课老师



缪圆冰
高级工程师"
"1553835599-196","https://www.icourse163.org/category/guojiajingpin#?type=30&orderBy=0&pageIndex=1","文学欣赏与批评","https://www.icourse163.org/course/WHU-20021","第10次开课","文学文化","2019年02月18日 ~ 2019年05月31日","进行至第6周，共15周","2小时每周","已有5256人参加","立即参加","(105)","授课老师



陈国恩
教授，博士生导师"
"1553836234-439","https://www.icourse163.org/category/guojiajingpin#?type=30&orderBy=0&pageIndex=1","大学物理典型问题解析—振动、波动与光学","https://www.icourse163.org/course/BIT-1001604004","第5次开课","理学","2019年04月29日 ~ 2019年06月26日","距离开课还有31天","3-5小时每周","已有772人参加","立即参加","(7)","授课老师



李英兰
副教授





刘兆龙
教授"
"1553835818-273","https://www.icourse163.org/category/guojiajingpin#?type=30&orderBy=0&pageIndex=1","冷战史专题","https://www.icourse163.org/course/ECNU-448001","第5次开课","历史","2019年02月25日 ~ 2019年07月02日","进行至第5周，共19周","3-5小时每周","已有4252人参加","立即参加","(378)","授课老师



沈志华
教授"
"1553836243-443","https://www.icourse163.org/category/guojiajingpin#?type=30&orderBy=0&pageIndex=1","行政法学","https://www.icourse163.org/course/WHU-212005","第8次开课","法学","2019年03月03日 ~ 2019年07月01日","进行至第4周，共18周","1小时每周","已有5899人参加","立即参加","(23)","授课老师



江国华
教授 博士生导师"
"1553835508-158","https://www.icourse163.org/category/guojiajingpin#?type=30&orderBy=0&pageIndex=1","工程力学","https://www.icourse163.org/course/HUST-1001515002","第7次开课","工学","2019年02月18日 ~ 2019年06月25日","进行至第6周，共19周","3-5小时每周","已有5844人参加","立即参加","(23)","授课老师



王元勋
教授





胡洪平
副教授





魏俊红
讲师





安群力
讲师





杨新华
教授





胡元太
教授





陈传尧
教授"
"1553835348-92","https://www.icourse163.org/category/guojiajingpin#?type=30&orderBy=0&pageIndex=1","创业：道与术","https://www.icourse163.org/course/ZNUEDU-1003449003","null","管理学","2018年12月17日 ~ 2019年03月15日","当前开课已结束","1-2小时每周","已有2065人参加","老师已关闭该学期，无法查看","(10)","授课老师



汪军民
教授"
"1553836330-478","https://www.icourse163.org/category/guojiajingpin#?type=30&orderBy=0&pageIndex=1","走近中华优秀传统文化","https://www.icourse163.org/course/NJU-1002190001","第4次开课","哲学","2019年03月04日 ~ 2019年06月30日","进行至第4周，共17周","2-3小时每周","已有3987人参加","立即参加","(661)","授课老师



张亮
教授，博士生导师。





胡星铭
副教授





邵佳德
助理研究员"
"1553835156-28","https://www.icourse163.org/category/guojiajingpin#?type=30&orderBy=0&pageIndex=1","信息安全概论","https://www.icourse163.org/course/CAU-251001","第5次开课","计算机","2018年09月17日 ~ 2018年11月30日","当前开课已结束","3-5","已有3993人参加","已结束，查看内容","(35)","授课老师



吕春利
副教授"
"1553835960-333","https://www.icourse163.org/category/guojiajingpin#?type=30&orderBy=0&pageIndex=1","模拟电子技术基础","https://www.icourse163.org/course/NUDT-1002010027","第5次开课","工学","2019年02月25日 ~ 2019年07月01日","进行至第5周，共19周","3-5小时每周","已有2597人参加","立即参加","(67)","授课老师



杜湘瑜
教授





刘安芝
副教授





罗笑冰
副教授





计科峰
副教授





李悦丽
副教授





于红旗
副教授





陈绍荣
讲师





程江华
副教授





张亮
讲师"
"1553836996-752","https://www.icourse163.org/category/guojiajingpin#?type=30&orderBy=0&pageIndex=1","数据库系统概论（新技术篇）","https://www.icourse163.org/course/RUC-1001965017","第5次开课","计算机","2019年03月19日 ~ 2019年07月15日","进行至第2周，共17周","2-3小时每周","已有4652人参加","立即参加","(12)","授课老师



王珊
教授





杜小勇
教授





陈红
教授





文继荣
教授





李翠平
教授





张延松
副教授





周烜
副教授





秦波
副教授





覃雄派
讲师





张孝
副教授





陈跃国
教授





窦志成
教授





卢卫
副教授





魏哲巍
副教授





卢志武
副教授





赵鑫
副教授





刘家俊
副教授





焦敏
高级工程师





张晓莹
工程师"
"1553835230-59","https://www.icourse163.org/category/guojiajingpin#?type=30&orderBy=0&pageIndex=1","画法几何与技术制图基础","https://www.icourse163.org/course/CAU-37001","第5次开课","工学","2018年09月17日 ~ 2019年01月13日","当前开课已结束","3-5","已有5512人参加","老师已关闭该学期，无法查看","(3)","授课老师



李丽
教授





张彦娥
教授





吴红丹
副教授





刘韶军
副教授





王海华
副教授





梅树立
教授"
"1553836431-520","https://www.icourse163.org/category/guojiajingpin#?type=30&orderBy=0&pageIndex=1","中国近现代史纲要","https://www.icourse163.org/course/CSU-1001591002","第7次开课","法学","2019年03月04日 ~ 2019年06月30日","进行至第4周，共17周","3学时每周","已有2129人参加","立即参加","(479)","授课老师



吴争春
副教授





王翔
副教授





刘志刚
副教授





张金荣
教授





万琼华
教授





陈文联
教授





罗春梅
副教授





李斌
副教授





梅乐
讲师





李兰兰
讲师"
"1553836827-681","https://www.icourse163.org/category/guojiajingpin#?type=30&orderBy=0&pageIndex=1","电器理论基础","https://www.icourse163.org/course/FZU-1001595001","第7次开课","工学","2019年03月12日 ~ 2019年07月02日","进行至第3周，共17周","3-5小时每周","已有869人参加","立即参加","(71)","授课老师



许志红
教授、博士生导师、院长





郑昕
副教授





汤龙飞
讲师"
"1553835868-294","https://www.icourse163.org/category/guojiajingpin#?type=30&orderBy=0&pageIndex=1","C程序设计","https://www.icourse163.org/course/NWPU-236004","第8次开课","计算机","2019年02月25日 ~ 2019年06月09日","进行至第5周，共15周","4小时每周","已有5398人参加","立即参加","(94)","授课老师



姜学锋
副教授





刘君瑞
副教授"
"1553836351-487","https://www.icourse163.org/category/guojiajingpin#?type=30&orderBy=0&pageIndex=1","海上货物运输","https://www.icourse163.org/course/DLMU-1001979017","第5次开课","工学","2019年03月04日 ~ 2019年06月23日","进行至第4周，共16周","2-4小时每周","已有809人参加","立即参加","(45)","授课老师



田佰军
船长 副教授





王文新
副教授





姜华
副教授"
"1553835469-142","https://www.icourse163.org/category/guojiajingpin#?type=30&orderBy=0&pageIndex=1","轮机自动化","https://www.icourse163.org/course/DLMU-1002030033","第4次开课","工学","2019年02月18日 ~ 2019年05月19日","进行至第6周，共13周","3-5小时每周","已有815人参加","立即参加","(15)","授课老师



甘辉兵
副教授





张均东
教授





贾宝柱
副教授





曾鸿
副教授"
"1553836878-703","https://www.icourse163.org/category/guojiajingpin#?type=30&orderBy=0&pageIndex=1","计算机专业导论","https://www.icourse163.org/course/HIT-437006","第8次开课","计算机","2019年04月15日 ~ 2019年07月28日","距离开课还有17天","3-5小时每周","已有1704人参加","立即参加","(136)","授课老师



战德臣
教授 博士生导师





张丽杰
教授





聂兰顺
副教授





宋巧红
副研究员"
"1553835851-287","https://www.icourse163.org/category/guojiajingpin#?type=30&orderBy=0&pageIndex=1","C++语言程序设计（上）","https://www.icourse163.org/course/CAU-368007","第8次开课","计算机","2019年02月25日 ~ 2019年05月19日","进行至第5周，共12周","3-5小时每周","已有5161人参加","立即参加","(58)","授课老师



阚道宏
副教授"
"1553836347-485","https://www.icourse163.org/category/guojiajingpin#?type=30&orderBy=0&pageIndex=1","高级财务会计","https://www.icourse163.org/course/JXUFE-1002332004","第4次开课","管理学","2019年03月04日 ~ 2019年06月20日","进行至第4周，共16周","32","已有2959人参加","立即参加","(174)","授课老师



彭晓洁
教授





管考磊
副教授





熊家财
副教授





荣莉
教授





刘淑华
讲师





李世刚
讲师





谢波
讲师"
"1553835424-123","https://www.icourse163.org/category/guojiajingpin#?type=30&orderBy=0&pageIndex=1","F3：财务会计","https://www.icourse163.org/course/XJTU-1002104012","第4次开课","管理学","2019年02月13日 ~ 2019年04月21日","进行至第7周，共10周","4-6","已有5136人参加","立即参加","(11)","授课老师



骆蕾
讲师"
"1553836696-630","https://www.icourse163.org/category/guojiajingpin#?type=30&orderBy=0&pageIndex=1","计算机组成原理","https://www.icourse163.org/course/UESTC-1001543002","第5次开课","计算机","2019年03月11日 ~ 2019年07月14日","进行至第3周，共18周","4小时每周","已有11491人参加","立即参加","(87)","授课老师



纪禄平
副教授 / 博士生导师





罗克露
教授





张建
讲师





刘辉
讲师"
"1553835196-45","https://www.icourse163.org/category/guojiajingpin#?type=30&orderBy=0&pageIndex=1","中药与美容","https://www.icourse163.org/course/CPU-1001573003","第6次开课","医药卫生","2018年09月03日 ~ 2018年10月12日","当前开课已结束","2小时每周","已有27423人参加","已结束，查看内容","(608)","授课老师



王秋
副教授"
"1553835169-33","https://www.icourse163.org/category/guojiajingpin#?type=30&orderBy=0&pageIndex=1","结构生物化学","https://www.icourse163.org/course/NJU-1001572004","第4次开课","理学","2018年07月22日 ~ 2018年11月25日","当前开课已结束","5小时／周","已有15458人参加","已结束，查看内容","(64)","授课老师



杨荣武
教授"
"1553836538-565","https://www.icourse163.org/category/guojiajingpin#?type=30&orderBy=0&pageIndex=1","《道德经》的智慧启示","https://www.icourse163.org/course/OUC-495005","第7次开课","文学文化","2019年03月06日 ~ 2019年06月23日","进行至第4周，共16周","3-6小时/周","已有7787人参加","立即参加","(581)","授课老师



丁玉柱
丁玉柱，中国海洋大学副教授、硕士生导师，海洋文学与艺术研究所所长，南京大学文学硕士。"
"1553835511-159","https://www.icourse163.org/category/guojiajingpin#?type=30&orderBy=0&pageIndex=1","高等数学(二)","https://www.icourse163.org/course/XJTU-1001756006","第3次开课","理学","2019年02月18日 ~ 2019年06月30日","进行至第6周，共19周","3-5小时每周","已有22156人参加","立即参加","(61)","授课老师



李继成
教授





赵小艳
副教授





吴慧卓
副教授





李萍
讲师





戴永红
副教授





张芳
讲师





王勇茂
副教授





李换琴
教授





武忠祥
教授





常争鸣
教授





张永怀
副教授





王峰
副教授"
"1553835222-55","https://www.icourse163.org/category/guojiajingpin#?type=30&orderBy=0&pageIndex=1","普通天文学","https://www.icourse163.org/course/NJU-1001752349","第3次开课","理学","2018年10月08日 ~ 2018年12月31日","当前开课已结束","2、1小时每周","已有6981人参加","已结束，查看内容","(113)","授课老师



李向东
教授"
"1553837148-812","https://www.icourse163.org/category/guojiajingpin#?type=30&orderBy=0&pageIndex=1","现代礼仪","https://www.icourse163.org/course/HNU-20005","第10次开课","文学文化","2019年03月04日 ~ 2019年06月21日","进行至第4周，共16周","1~2小时每周","已有84858人参加","立即参加","(1598)","授课老师



袁涤非
教授"
"1553835565-182","https://www.icourse163.org/category/guojiajingpin#?type=30&orderBy=0&pageIndex=1","数字信号处理","https://www.icourse163.org/course/NJUPT-1002144009","第4次开课","工学","2019年02月18日 ~ 2019年06月24日","进行至第6周，共19周","3-5小时每周","已有1651人参加","立即参加","(61)","授课老师



杨震
教授、博士生导师





王颖翠
讲师





梁涓
副教授





叶蕾
副教授





朱艳
讲师





季薇
副教授





张玲华
教授





徐欣
副教授





邵曦
副教授





邓立新
副教授"
"1553835318-79","https://www.icourse163.org/category/guojiajingpin#?type=30&orderBy=0&pageIndex=1","大学化学(上)","https://www.icourse163.org/course/CSU-1001590002","第6次开课","理学","2018年09月24日 ~ 2019年02月03日","当前开课已结束","4","已有16206人参加","已结束，查看内容","(15)","授课老师



王一凡
教授





刘绍乾
副教授





钱频
讲师





王曼娟
讲师





何跃武
副教授





肖旭贤
副教授





张寿春
副教授





颜军
教授





文莉
副教授





易小艺
教授





周建良
副教授"
"1553836436-522","https://www.icourse163.org/category/guojiajingpin#?type=30&orderBy=0&pageIndex=1","体育舞蹈与文化","https://www.icourse163.org/course/DLUT-1002080012","第4次开课","艺术设计","2019年03月04日 ~ 2019年06月09日","进行至第4周，共14周","2-3小时每周","已有1661人参加","立即参加","(157)","授课老师



刘君
副教授"
"1553836993-751","https://www.icourse163.org/category/guojiajingpin#?type=30&orderBy=0&pageIndex=1","针灸学导论","https://www.icourse163.org/course/BUCM-387004","第8次开课","医药卫生","2019年03月19日 ~ 2019年06月30日","进行至第2周，共15周","2-3","已有5942人参加","立即参加","(490)","授课老师



马文珠
教授/主任医师





赵百孝
教授





张莉
教授





王燕平
教授





侯中伟
副教授"
"1553835516-161","https://www.icourse163.org/category/guojiajingpin#?type=30&orderBy=0&pageIndex=1","国防教育——军事理论","https://www.icourse163.org/course/XJTU-47023","第9次开课","教育教学","2019年02月18日 ~ 2019年06月17日","进行至第6周，共18周","2-4小时每周","已有1178人参加","立即参加","(612)","授课老师



张正明
二级教授





问鸿滨
教授





徐宇春
副教授





李科
教授





初阔林
副教授





闫忠林
副教授





刘玉青
副教授"
"1553835865-293","https://www.icourse163.org/category/guojiajingpin#?type=30&orderBy=0&pageIndex=1","C#程序设计","https://www.icourse163.org/course/NWPU-493001","第7次开课","计算机","2019年02月25日 ~ 2019年06月09日","进行至第5周，共15周","4小时每周","已有2238人参加","立即参加","(23)","授课老师



刘君瑞
副教授"
"1553836490-545","https://www.icourse163.org/category/guojiajingpin#?type=30&orderBy=0&pageIndex=1","求职OMG-大学生就业指导与技能开发","https://www.icourse163.org/course/OUC-1001769006","第5次开课","管理学","2019年03月05日 ~ 2019年06月25日","进行至第4周，共17周","每周1-2小时","已有2106人参加","立即参加","(89)","授课老师



辛远征
教师





乔宝刚
教师"
"1553835199-46","https://www.icourse163.org/category/guojiajingpin#?type=30&orderBy=0&pageIndex=1","MIB国际商务","https://www.icourse163.org/course/HZIC-1002599030","第2次开课","管理学","2018年10月16日 ~ 2018年12月31日","当前开课已结束","2小时每周","已有7038人参加","老师已关闭该学期，无法查看","(442)","授课老师



朱勤
教授





赵英军
教授





王永齐
副教授





刘文革
教授





张友仁
教授





肖迪
副教授"
"1553836005-352","https://www.icourse163.org/category/guojiajingpin#?type=30&orderBy=0&pageIndex=1","灾难逃生与自救","https://www.icourse163.org/course/TONGJI-1001909011","第5次开课","医药卫生","2019年02月25日 ~ 2019年05月17日","进行至第5周，共12周","4小时每周","已有2410人参加","立即参加","(256)","授课老师



刘中民
上海市东方医院院长、医学博士、主任医师、教授、博士生导师、国务院特殊津贴专家、上海市领军人才"
"1553835139-21","https://www.icourse163.org/category/guojiajingpin#?type=30&orderBy=0&pageIndex=1","高等数学（五）","https://www.icourse163.org/course/NUDT-42003","第5次开课","理学","2018年05月21日 ~ 2018年07月08日","当前开课已结束","3-5小时每周","已有24692人参加","已结束，查看内容","(13)","授课老师



朱健民
教授





李建平
教授





黄建华
教授





王晓
教授





周敏
教授





刘雄伟
副教授





罗永
副教授





赵侠
副教授





吴强
副教授





王焱
副教授"
"1553836673-621","https://www.icourse163.org/category/guojiajingpin#?type=30&orderBy=0&pageIndex=1","海绵城市建设理念与工程应用","https://www.icourse163.org/course/FZU-1002330001","第4次开课","工学","2019年03月11日 ~ 2019年06月02日","进行至第3周，共12周","1-3小时每周","已有1180人参加","立即参加","(38)","授课老师



刘德明
教授,教高





康得军
副教授"
"1553836214-431","https://www.icourse163.org/category/guojiajingpin#?type=30&orderBy=0&pageIndex=1","环境污染事件与应急响应","https://www.icourse163.org/course/BNU-1001642001","第6次开课","工学","2019年03月01日 ~ 2019年06月07日","进行至第5周，共15周","2学时每周","已有873人参加","立即参加","(36)","授课老师



田光进
副教授"
"1553835353-94","https://www.icourse163.org/category/guojiajingpin#?type=30&orderBy=0&pageIndex=1","微积分（二）","https://www.icourse163.org/course/UESTC-1001785006","第3次开课","理学","2018年11月12日 ~ 2019年01月20日","当前开课已结束","3-5小时每周","已有11216人参加","已结束，查看内容","(8)","授课老师



高建
教授





冷劲松
教授





汪小平
讲师





高中喜
副教授





余时伟
讲师





程光辉
教授





何国良
副教授





米文
副教授





夏红
副教授





窦芳芳
副教授





王晓梅
副教授





刘碧森
无"
"1553836153-413","https://www.icourse163.org/category/guojiajingpin#?type=30&orderBy=0&pageIndex=1","中级财务会计（一）","https://www.icourse163.org/course/HIT-1001516004","第8次开课","管理学","2019年03月01日 ~ 2019年06月30日","进行至第5周，共18周","4-6","已有10133人参加","立即参加","(89)","授课老师



高艳茹
副教授、硕士研究生导师"
"1553835641-214","https://www.icourse163.org/category/guojiajingpin#?type=30&orderBy=0&pageIndex=1","结构力学（一）","https://www.icourse163.org/course/SWJTU-410003","第8次开课","工学","2019年02月20日 ~ 2019年05月28日","进行至第6周，共14周","3-5小时/周","已有3390人参加","立即参加","(34)","授课老师



罗永坤
副教授





蔡婧
副教授"
"1553836383-500","https://www.icourse163.org/category/guojiajingpin#?type=30&orderBy=0&pageIndex=1","“爱上广告”——广告艺术鉴赏","https://www.icourse163.org/course/NJUPT-1001753421","第5次开课","艺术设计","2019年03月04日 ~ 2019年06月25日","进行至第4周，共17周","1.5小时每周","已有4075人参加","立即参加","(82)","授课老师



余洋
副教授"
"1553837066-778","https://www.icourse163.org/category/guojiajingpin#?type=30&orderBy=0&pageIndex=1","大学物理2：振动与波动、热学","https://www.icourse163.org/course/TONGJI-44005","第9次开课","理学","2019年03月25日 ~ 2019年06月25日","进行至第1周，共14周","3-5小时每周","已有3087人参加","立即参加","(17)","授课老师



刘海兰
同济大学 物理科学与工程学院 副教授





吴天刚
同济大学物理科学与工程学院 教授





倪忠强
同济大学物理科学与工程学院 教授"
"1553836335-480","https://www.icourse163.org/category/guojiajingpin#?type=30&orderBy=0&pageIndex=1","工程图学（一）","https://www.icourse163.org/course/JLU-1002256021","第4次开课","工学","2019年03月04日 ~ 2019年06月24日","进行至第4周，共17周","4","已有877人参加","立即参加","(18)","授课老师



谷艳华
教授"
"1553836400-507","https://www.icourse163.org/category/guojiajingpin#?type=30&orderBy=0&pageIndex=1","地理信息系统概论","https://www.icourse163.org/course/SYSU-1001627002","第5次开课","理学","2019年03月04日 ~ 2019年06月15日","进行至第4周，共15周","3-5小时每周","已有2850人参加","立即参加","(142)","授课老师



张新长
教授、博士生导师





辛秦川
副教授、硕士生导师"
"1553835746-242","https://www.icourse163.org/category/guojiajingpin#?type=30&orderBy=0&pageIndex=1","创业基础","https://www.icourse163.org/course/JNU-1002002002","第5次开课","管理学","2019年02月25日 ~ 2019年04月30日","进行至第5周，共10周","1-2小时每周","已有5628人参加","立即参加","(1371)","授课老师



张耀辉
教授"
"1553836919-720","https://www.icourse163.org/category/guojiajingpin#?type=30&orderBy=0&pageIndex=1","动物组织胚胎学","https://www.icourse163.org/course/HZAU-1002249007","第4次开课","农林园艺","2019年04月10日 ~ 2019年06月19日","距离开课还有12天","3-5小时每周","已有775人参加","立即参加","(64)","授课老师



曹罡
教授





刘华珍
副教授





彭克美
教授





宋卉
副教授





戴金霞
副研究员"
"1553837155-815","https://www.icourse163.org/category/guojiajingpin#?type=30&orderBy=0&pageIndex=1","程序设计入门——C语言","https://www.icourse163.org/course/ZJU-199001","第8次开课","计算机","2019年03月11日 ~ 2019年06月01日","进行至第3周，共12周","4-6小时每周","已有54873人参加","立即参加","(3643)","授课老师



翁恺
教师"
"1553835091-1","https://www.icourse163.org/category/guojiajingpin#?type=30&orderBy=0&pageIndex=1","人·车·社会","https://www.icourse163.org/course/WHUT-1002015024","第1次开课","工学","2017年10月08日 ~ 2017年12月25日","当前开课已结束","2","已有2148人参加","老师已关闭该学期，无法查看","(54)","授课老师



华林
教授





张国方
教授





颜伏伍
教授





过学迅
教授





侯献军
教授





李江天
副教授





秦训鹏
教授





宋景芬
副教授"
"1553835504-156","https://www.icourse163.org/category/guojiajingpin#?type=30&orderBy=0&pageIndex=1","结构力学","https://www.icourse163.org/course/CQU-1001691003","第6次开课","工学","2019年02月18日 ~ 2019年06月19日","进行至第6周，共18周","8小时/周","已有7362人参加","立即参加","(29)","授课老师



陈朝晖
教授





王达诠
讲师





文国治
副教授





陈名弟
副教授





刘纲
教授"
"1553835224-56","https://www.icourse163.org/category/guojiajingpin#?type=30&orderBy=0&pageIndex=1","微积分（一）","https://www.icourse163.org/course/HIT-153001","第5次开课","理学","2018年09月03日 ~ 2018年12月28日","当前开课已结束","3-5小时每周","已有18569人参加","已结束，查看内容","(35)","授课老师



尹逊波
教授"
"1553836976-744","https://www.icourse163.org/category/guojiajingpin#?type=30&orderBy=0&pageIndex=1","侵权责任法","https://www.icourse163.org/course/SCU-46013","第10次开课","法学","2019年03月18日 ~ 2019年07月31日","进行至第2周，共20周","每周2个学时","已有3748人参加","立即参加","(92)","授课老师



王竹
教授   博士生导师"
"1553835409-117","https://www.icourse163.org/category/guojiajingpin#?type=30&orderBy=0&pageIndex=1","3D工程图学","https://www.icourse163.org/course/HUST-1001665003","第5次开课","工学","2019年02月11日 ~ 2019年06月02日","进行至第7周，共16周","4","已有2211人参加","立即参加","(178)","授课老师



阮春红
副教授





黄其柏
教授





何建英
副教授





李喜秋
讲师





张俐
副教授





黄金国
副教授





华科程敏
讲师





田文峰
讲师





朱洲
讲师





陶亚松
讲师





鄢来祥
讲师"
"1553835894-305","https://www.icourse163.org/category/guojiajingpin#?type=30&orderBy=0&pageIndex=1","电路分析基础","https://www.icourse163.org/course/UESTC-500002","第6次开课","工学","2019年02月25日 ~ 2019年05月31日","进行至第5周，共14周","4-6小时每周","已有7714人参加","立即参加","(27)","授课老师



钟洪声
教授





崔红玲
副教授"
"1553836502-550","https://www.icourse163.org/category/guojiajingpin#?type=30&orderBy=0&pageIndex=1","神韵诗研究","https://www.icourse163.org/course/SDU-21003","第10次开课","文学文化","2019年03月05日 ~ 2019年06月30日","进行至第4周，共17周","3-5小时每周","已有892人参加","立即参加","(15)","授课老师



王小舒
教授





吕玉华
副教授"
"1553837105-794","https://www.icourse163.org/category/guojiajingpin#?type=30&orderBy=0&pageIndex=1","翻转课堂教学法","https://www.icourse163.org/course/PKU-21016","第21次开课","教育教学","2019年04月01日 ~ 2019年05月21日","距离开课还有3天","3-8学时每周","已有6034人参加","立即参加","(270)","授课老师



汪琼
教授   博士生导师"
"1553835344-90","https://www.icourse163.org/category/guojiajingpin#?type=30&orderBy=0&pageIndex=1","工程流体力学","https://www.icourse163.org/course/BIT-1001758008","第3次开课","工学","2018年10月09日 ~ 2019年01月20日","当前开课已结束","4小时每周","已有9876人参加","老师已关闭该学期，无法查看","(36)","授课老师



王国玉
教授





韩占忠
教师





黄彪
副教授"
"1553836742-645","https://www.icourse163.org/category/guojiajingpin#?type=30&orderBy=0&pageIndex=1","离散数学","https://www.icourse163.org/course/UESTC-1002268006","第4次开课","计算机","2019年03月11日 ~ 2019年07月31日","进行至第3周，共21周","2-3小时每周","已有7488人参加","立即参加","(114)","授课老师



王丽杰
副教授





傅彦
教授





罗亮
讲师





高辉
教授"
"1553835659-221","https://www.icourse163.org/category/guojiajingpin#?type=30&orderBy=0&pageIndex=1","制胜：一部孙子傲商海","https://www.icourse163.org/course/JXUFE-1002329009","第4次开课","管理学","2019年02月22日 ~ 2019年06月09日","进行至第6周，共16周","5","已有4034人参加","立即参加","(250)","授课老师



刘爱军
副教授





刘浩华
教授





钟尉
讲师





陈亮亮
讲师"
"1553835788-260","https://www.icourse163.org/category/guojiajingpin#?type=30&orderBy=0&pageIndex=1","大学物理典型问题解析—力学与热学","https://www.icourse163.org/course/BIT-1001605006","第5次开课","理学","2019年02月25日 ~ 2019年05月31日","进行至第5周，共14周","3-5小时每周","已有3059人参加","立即参加","(19)","授课老师



刘兆龙
教授





冯艳全
副教授





石宏霆
副教授"
"1553836344-484","https://www.icourse163.org/category/guojiajingpin#?type=30&orderBy=0&pageIndex=1","高速铁路运营与维护","https://www.icourse163.org/course/SWJTU-170001","第6次开课","工学","2019年03月04日 ~ 2019年07月10日","进行至第4周，共19周","1-2小时每周","已有644人参加","立即参加","(53)","授课老师



王平
教授"
"1553836476-539","https://www.icourse163.org/category/guojiajingpin#?type=30&orderBy=0&pageIndex=1","机械设计","https://www.icourse163.org/course/NWPU-17001","第8次开课","工学","2019年03月04日 ~ 2019年07月07日","进行至第4周，共18周","3-5小时每周","已有2955人参加","立即参加","(53)","授课老师



陈国定
教授，博导





宁方立
教授，博导





吴立言
教授"
"1553836800-670","https://www.icourse163.org/category/guojiajingpin#?type=30&orderBy=0&pageIndex=1","产业经济学","https://www.icourse163.org/course/ZUFE-1002530007","第3次开课","经济学","2019年03月11日 ~ 2019年06月16日","进行至第3周，共14周","3-5小时每周","已有2058人参加","立即参加","(64)","授课老师



王俊豪
教授





金通
教授





唐要家
教授





戴魁早
戴魁早





柴志贤
副教授





熊红星
副教授





熊艳
讲师"
"1553836376-497","https://www.icourse163.org/category/guojiajingpin#?type=30&orderBy=0&pageIndex=1","材料力学","https://www.icourse163.org/course/SEU-1001752358","第5次开课","工学","2019年03月04日 ~ 2019年06月30日","进行至第4周，共17周","4小时每周","已有3330人参加","立即参加","(14)","授课老师



乔玲
副教授





糜长稳
副教授





洪俊
副教授"
